Ticker,Company
KTN.DE,KONTRON AG O.N
1AST.DE,ASTA ENERGY SOLUTIONS AG
SLYG.DE,SHELLY GROUP PLC     EO 1
A7A.DE,HELIAD AG   NA O.N.
DTD2.DE,B+S BANKSYSTEME AG O.N.
BWB.DE,BAADER BANK AG
UTDI.DE,UTD.INTERNET AG NA
AAD.DE,AMADEUS FIRE AG
BSL.DE,BASLER AG O.N.
ADV.DE,ADTRAN NETW.SE INH O.N.
AOF.DE,ATOSS SOFTWARE SE INH O.N
SYZ.DE,SYZYGY AG O.N.
A1OS.DE,ALL FOR ONE GROUP NA O.N.
TGT.DE,11 88 0 SOLUTIONS AG
R1B.DE,RUBEAN O.N.
DBK.DE,DEUTSCHE BANK AG NA O.N.
DEX.DE,DELTICOM AG  NA O.N.
SCE.DE,SCHWEIZER ELECTR. NA O.N.
HNL.DE,HOENLE AG O.N.
BC8.DE,BECHTLE AG O.N.
UUU.DE,3U HOLDING AG
SUR.DE,SURTECO GROUP SE INH O.N.
SYT.DE,SOFTING AG IN O.N.
WFA.DE,WENG FINE ART AG NA O.N.
BMW.DE,BAY.MOTOREN WERKE AG ST
BMW3.DE,BAY.MOTOREN WERKE  VZO
BYW.DE,BAYWA AG   NA O.N.
BYW6.DE,BAYWA AG VINK.NA. O.N.
ECK.DE,LUDW.BECK A.RATHAUSECK
BEI.DE,BEIERSDORF AG O.N.
BEZ.DE,BERENTZEN-GRP.AG
QB7.DE,QUIRIN PRIVATBK  O.N.
BNN.DE,BRAIN BIOTEC  NA O.N.
A6T.DE,ARTEC TECHNOLOGIES O.N.
MBQ.DE,MOBOTIX AG O.N.
EBK.DE,ENBW ENERGIE BAD.-WUE. ON
OBS.DE,ORBIS SE INH O.N.
BIJ.DE,BIJOU BRIGITTE O.N.
BDT.DE,BERTRANDT AG O.N.
EKT.DE,ENERGIEKONTOR O.N.
AFX.DE,CARL ZEISS MEDITEC AG
CWC.DE,CEWE STIFT.KGAA  O.N.
CSH.DE,CENIT AG O.N.
CEK.DE,CEOTRONICS AG O.N.
VVV3.DE,OEKOWORLD AG VZNA O.N.
COK.DE,CANCOM SE O.N.
CON.DE,CONTINENTAL AG O.N.
EVD.DE,CTS EVENTIM KGAA
LXS.DE,LANXESS AG
ULC.DE,UNITED LABELS O.N.
MZX.DE,MASTERFLEX O.N.
BVB.DE,BORUSSIA DORTMUND
HYQ.DE,HYPOPORT SE  NA O.N.
GME.DE,GERATHERM O.N.
DAM.DE,DATA MODUL AG O.N.
DGR.DE,DT.GRUNDST.AUKT.AG
1U1.DE,1+1 AG  INH O.N.
DRW8.DE,DRAEGERWERK ST.A.O.N.
DRW3.DE,DRAEGERWERK VZO O.N.
DHL.DE,DEUTSCHE POST AG NA O.N.
DTE.DE,DT.TELEKOM AG NA
PGN.DE,PARAGON KGAA  INH O.N.
DUE.DE,DUERR AG O.N.
UBK.DE,UMWELTBANK AG O.N.
DIE.DE,DIERIG HOLDING AG O.N.
EDL.DE,EDEL SE+CO.KGAA INH O.N.
EIF.DE,MEDNATION AG INH O.N.
EUZ.DE,ECKERT+ZIEGLER  INH O.N.
EVT.DE,EVOTEC SE  INH O.N.
ELG.DE,ELMOS SEMICOND. INH O.N.
LSX.DE,LS TELCOM AG
IXX.DE,INIT INNOVATION O.N.
AB9.DE,ABO ENERGY INH O.N.
XTP.DE,SINO AG
FIE.DE,FIELMANN GROUP AG O.N.
FRA.DE,FRAPORT AG FFM.AIRPORT
FEV.DE,FORTEC ELEKTRO. O.N.
FRS.DE,FORIS AG
FRE.DE,FRESENIUS SE+CO.KGAA O.N.
FME.DE,FRESEN.MED.CARE AG INH ON
GFT.DE,GFT TECHNOLOGIES SE
DB1.DE,DEUTSCHE BOERSE NA O.N.
E4C.DE,ECOTEL COMMUNICATION AG
MSAG.DE,MS INDUSTRIE AG
IS7.DE,INTICA SYSTEMS INH O.N.
GIL.DE,DMG MORI AG O.N.
GMM.DE,GRAMMER AG O.N.
GBF.DE,BILFINGER SE O.N.
YOC.DE,YOC AG O.N.
OHB.DE,OHB SE   O.N.
HAW.DE,HAWESKO HOLDING  INH O.N.
MAK.DE,MATERNUS-KLI.AG O.N.
HEI.DE,HEIDELBERG MATERIALS O.N.
HEN.DE,HENKEL AG+CO.KGAA ST O.N.
HEN3.DE,HENKEL AG+CO.KGAA VZO
HMU.DE,HMS BERGBAU AG
HOT.DE,HOCHTIEF AG
HBH.DE,HORNBACH HOLD.ST O.N.
INH.DE,INDUS HOLDING AG
CEA.DE,FRIWO AG O.N.
SZG.DE,SALZGITTER AG O.N.
IUR.DE,KAP AG  INH O.N.
MLL.DE,MUELLER-LILA LOG. INH ON
JUN3.DE,JUNGHEINRICH AG O.N.VZO
PCZ.DE,PROCREDIT HLDG AG NA EO 5
ITN.DE,INTERTAINMENT AG INH O.N.
IFX.DE,INFINEON TECH.AG NA O.N.
O4B.DE,OVB HOLDING AG
KSB.DE,KSB SE+CO.KGAA  ST O.N.
KSB3.DE,KSB SE+CO.KGAA VZO O.N.
DEZ.DE,DEUTZ AG O.N.
KRN.DE,KRONES AG O.N.
LPK.DE,LPKF LASER+ELECTR.INH ON
NEM.DE,NEMETSCHEK SE O.N.
LEI.DE,LEIFHEIT AG O.N.
ALG.DE,ALBIS LEASING AG O.N.
MLP.DE,MLP SE  INH. O.N.
NN6.DE,NANOREPRO AG
KWG.DE,KHD HUMBOLDT WEDAG O.N.
MUM.DE,MENSCH UND MASCH.O.N.
MED.DE,MEDICLIN AG
MRK.DE,MERCK KGAA O.N.
G1A.DE,GEA GROUP AG
CHG.DE,CHAPTERS GROUP INH O.N.
MUB.DE,MUEHLBAUER HOLD.AG O.N.
NDA.DE,AURUBIS AG
PFV.DE,PFEIFFER VACUUM TECH.O.N.
PZS.DE,SCHERZER U. CO. AG O.N.
PWO.DE,PWO AG  INH O.N.
PUM.DE,PUMA SE
RTC.DE,REALTECH AG O.N.
RAA.DE,RATIONAL AG
RHM.DE,RHEINMETALL AG
RWE.DE,RWE AG   INH O.N.
RHK.DE,RHOEN-KLINIKUM O.N.
KWS.DE,KWS SAAT KGAA  INH O.N.
MBG.DE,MERCEDES-BENZ GRP NA O.N.
SAP.DE,SAP SE O.N.
SRT.DE,SARTORIUS AG O.N.
SRT3.DE,SARTORIUS AG VZO O.N.
